No.;Fix/Dev;Ext/Int;Short description;Goal;"Created at 
(via Makro)";Folder;Object Type;Priority;Working Prio;Status;Comments / Next steps;Reporter;Responsible;Solution approach / Comment;Transport;Detailed description
1065;Fix;Int;Data is not in System after replication;2510;;Link;Class;High;984;Solved;;Niklas;Frank;"28.10.25 Mx Frank prägt Outbound Customizing für CHRMAS  und CLMAS in IH1_100 aus. > Hat er sogar heute noch erledigt.
02.10.2025 MX Anfrage bezüglich Fehler Verteilung IDOC an Frank. Es geht hier um das Entwicklungssystem.
30.09.2025 Mx Anfrage an Niklas wer und wie der Defect bearbeitet werden soll.
29.09.25 MB: Thomas hakt nochmal nach
05.09.25 MB: Problem konnte nicht nachvollzogen werden (jedenfalls für Material Type und ProdH). Die Fehlerbeschreibung ist mangelhaft … Es zeigt keine Fehler in Material Type / ProdH. Für Klassen und Merkmale ALE Verbindung nicht richtig konfiguriert. Und generell scheint das Partnerprofil auch für das generische IDoc nicht konfiguriert sein. Günter sollte sich das anschauen und kann sich bei Fragen bei Frank melden. Es geht um IR1!
03.09. Mx Replication issue assigend to Frank.
01.09. Mx Defect open, Resp. Maxi";;
1196;Fix;Ext;Assignment of node level 1 to node level 1 is possible;2507;13.01.2026 12:37:00;Link;Product Hierarchy;High;981;Solution Proposal;;Bayer;Mike;"20.01.2026 MSK: Note delivered
14.01.2026 Mx Maxi führt Entwicklertest durch.";ID1K906546;
908;Fix;Ext;Holiday calendar & Public Holiday import missing;2507;;Link;Holiday Calendar;Very High;980;Confirmed;;Niklas;Dieter;"23.06. MB noch offen
14.04. MX Defect gelöst. ";;
1005;Fix;Int;Duplicate key error;2507;;Link;Product Hierarchy;High;980;Confirmed;;Ulla;Mike;"14.07. MX In Tester Telko als ""Solved"" 
 11.07.25 MB: Does not show up always and needs to be checked after system refresh";;
1090;Fix;Ext;Required to add the KOART(Account Type) field ;2503;23.09.2025 09:50:19;Link;Payment Terms Details;High;980;Automatically Confirmed;;Intel;Dieter;23.09.2025 MB: Dieter schaut es sich an;;
1117;Fix;Ext;Issue with the Characteristics Search UI;2507;21.10.2025 18:21:39;Link;Characteristic;High;980;Confirmed;;Bayer;Mike;"29.10. Mx Mail von Grigor zu 1118 das es funktioniert. 
28.10. Mx Duplicate Check fehlt Eintrag im Customizing, Vorschlag Einträge löschen
23.10.25 MX Günter bereitet Paket für Kunden vor.
21.10.25 MB: Mike vermutet Probleme mit dem BC-Set /ITR/MDG_RDM_BASIC_FRMWRK_*. Da fehlen wohl Einträge für CharHead in den letzten BC Sets?
";;
1118;Fix;Ext;Issue with the Classes Search UI;2507;21.10.2025 18:23:04;Link;Class;High;980;Confirmed;;Bayer;Mike;"06.11.25 Mx Kunde hat Lösung bestätigt.
28.10. Mx BC-Set Fehler, Mike erneut Rückfrage an Bayer bezüglich nicht gelöschter Einträge
24.10.25 MSK: Kunde wurde instruiert einen Customizing-Eintrag für die Konfiguration der Search UI zu ersetzen. Dieser wurde fehlerhaft ausgeliefert
21.10.25 MB: Mike vermutet auch hier Probleme mit dem BC-Set /ITR/MDG_RDM_BASIC_FRMWRK_*. Da fehlen wohl Einträge für Class in allen BC Sets? Zusätzlich könnte der Fehler noch damit zu tun haben, dass Frank wohl den Duplicate Check auf diesem Objekt erlaubt haben. Ggf. gibt es da Wechselwirkungen.
";;
1131;Fix;Ext;Issue during generation of external number;;04.11.2025 18:13:57;Link;Product Hierarchy;High;980;Automatically Confirmed;;Intel? (Deloitte);Maren/Mike;"09.12.2025 Mx Status auf Auto. Conf.
20.11.25 Mx Info bekommen, Thema ist bei Maren bezüglich Lösung über neues Release. Kunde hat 2311_01 und benötigt 2507.
06.11.25 Mx More information from customer needed.";;
1155;Con;Ext;Product Hierarchy open questions;;13.11.2025 07:21:58;Link;Product Hierarchy;Medium;980;Automatically Confirmed;;Bayer;Mike;"09.12.25 Mx Status auf Auto. Conf. gesetzt.
13.11.25 MB: ist ein Mix aus ""Support"" und ""Consulting"". Entsprechend beantwortet und um weitere Infos gebten. Mike gebeten sich das anzusehen. Generell ist das nur ein ""Medium"" aber im Zusammenhang auch mit anderen Kunden natürlich sehr wichtig für uns.";;
1173;Fix;Ext;Classes not created in active area;2311-01;04.12.2025 09:08:32;Link;Class;High;980;Automatically Confirmed;;ExxonMobil;Mike;"20.01.26 Mx Status auf Auto. Conf. 
12.12.25 MSK: Transport has been provided to customer
11.12. Mx Dieter macht Installationstest und Mike macht den funktionalen Test.
09.12.25 Mx Exxon hat noch Rel. 2311 SP-01 und könnte auf 2511 umstellen. Steht im Upload bereit. 
08.12.25 MB: Exxon hat eine Antwort geschickt, schon am 5.12. - haben wir aber anscheinend noch nicht drauf reagiert.
04.12. MX Mike hat Defect eröffnet. Exxon hat Probleme beim Test/Abnahme und kann diesen nicht beenden. Ggf. Nummernkreis nicht gepflegt. Dieter hilft weil es Zugang hat.";ID1K906474;
1193;Fix;Ext;“entered key already exists” error;2507;08.01.2026 15:39:02;Link;Product Hierarchy;High;980;Automatically Confirmed;;Bayer;Mike;"09.01.2026 MSK: Der Produkt Hierarchie Nummernkreis wurde nicht wie beschrieben eingerichtet, sondern wurde nach ""alter Fassung"" eingerichtet. Ebenfalls wurde beim Upload nicht der von uns im Guide vorgeschlagene Nummernkreis eingehalten, sondern stattdessen die internen Schlüssel automatisch generiert, was nun zu einem Key Konflikt führt. Eventuelle Beratungshilfe ist hier nicht ausgeschlossen
08.01.2026 Mx Defect created and info to customer.";;
1024;Dev;Ext;Company ID and Posting Period Variants Central distribution and responsibility for objects;2511;;Link;Company, Posting Period Variant;Very High;978;Done;;Shell;Sara;"06.10.2025: Test im IH1 geblockt, da Transport nicht ins IH1 lief wg. Abhängigkeiten zu WBS. Weitere Todos: UI Erweiterung durch Mike, Konfigurierbare F4s, Tests mit Abhängigkeiten, Weitere Verteiltests mit LSA und Direct Update.
02.10.2025 Mx Rollen müssen noch gebaut werden. Test aktuell im ID1.  F4 Hilfen und Felder Company ID, Company code müssen noch auf dem  UI erweitert werden.
25.09.2025: Dieter ist dran und hat den Dump erst einmal ""ausgeschaltet"" über Deaktivierung der Regeln. Frank schaut auch nochmal da er mit Mike an ähnlichen gearbeitet.
23.09.2025: Postin Period Variant und Company aktuell schon im Test
20.08. Farida hat Posting Period Variant fast fertig (Maren muss mit Shell klären ob ok), Company ID ggf. durch Sara
31.07. Mx Michael hat die beiden kontaktiert und Mike ist ebenfalls eingebunden.
24.07. Mx Erfassung Weiterentwicklung RDG Solution für Shell.";;
1035;Fix;Ext;Deinstall RDM deliver class ;2301;;Link;RDM Deinstallation;High;977;Confirmed;;ABI;Dieter;"20.08.: to be automatically confirmed at 27.08.25
13.08.missing objetc /ITG/OCS_SWC_IGN                                                                           04.08. ITG & ITO waren vorbereitet zum Löschen. Die Klasse hat aber noch gefehlt";S03K900107;
1032;Fix;Ext;Plant Address issue after RDM Upgrade to R2503 on sandbox system Rel.. 2503;2503;;Link;Plant;High;975;Automatically Confirmed;;Shell;Dieter;"03.09.2025 Confirmed da es nur darum ging ein BC Set zu aktivieren
19.08. Lösung an Shell wegen nicht Aktivierung von BC-Set. Noch keine Bestätigung von Shell.
31.07. Support Inbox - new ticket";;
1042;Fix;Ext;Mass Change for Payment Terms scenarios Rel. 2311 SP01;2311;;Link;Payment Term;Very High;975;Confirmed;;Shell;Dieter;"05.09.2025 Mx Mail von Shell approved.
01.09.2025 Shell hat den Fix bekommen
28.08. Thomas führt Test durch.
20.08. Can be reproduced in 2507. Dieter working on it in ID1. Problem im produktiven System Working Prio erhöht
19.08. MX Rückmeldung von Shell über Systemstatus.
Mx 12.08. Defect open.";;
1048;Fix;Ext;Runtime errors while Submitting CR for Language Key Change;2509;;Link;RDM ;Very High;975;Automatically Confirmed;;ArcelorMittal;Dieter;"09.12.2025 Mx Status auf Auto. Conf. gesetzt.
23.09.25: Dieter hat reagiert, ist wieder zurück auf Customer Interaction
09.09.25 MB: Steht im Zusammenhang mit ihrem Z0
04.09.25 Kunde sagt, dass es auch mit unserem CR Type passiert. Dieter übernimmt. Kunde sollte auch den Dump schicken.
03.09.25 Mike hat nach mehr Infos gefragt
26.08. Mx Defect opened. ";;
1150;Fix;Int;Objects in Multiobject CR cannot be selected after Submit ;2511;10.11.2025 16:27:28;Link;Company, Posting Period Variant;High;975;Automatically Confirmed;;Michael;Mike;"09.12.25 Mx Michael testet den Defekt. 
8.12.25 MB Frank hat wohl den nächsten Lösungsvorschlag mit dem Transport aus dem 1167 zur Verfügung gestellt. Michael muss testen.
4.12.25 MB: Muss als fix für 2511 raus ... Frank hat einen Report entwickelt bzw. weiterentwickelt, Mike bringt diesen IH1, Test, dann Auslieferung als Fix für 2511
19.11. Mx Lösungsvorschlag von Mike und Frank in Bearbeitung.
10.11.25 MB one idea: get the objects from the object list; another idea: solve it in parallel to ""remote validation"" task (work in progress by Frank for Shell)";;
1050;Fix;Ext;Timeout Snapshot RDH;2311-01;;Link;RDH, LSA;Very High;972;On Hold;;Bechtle/CBS;Frank;"05.09. Mx Rückfrage an CBS-Consulting, auf Antwort warten. Kein Defect hierzu von Bechtle eingegangen.
28.08. Mx Thomas macht Nachfrage an Kunden.
27.08. Gerd hat mit Tabelle SKAT getestet. Parameter scheint zu funktionieren.
26.08. Mx Defect opened. ";;
977;Fix;Ext;Issue with RDH filtering & Staging entry filtering;2503;;Link;RDH, LSA;High;970;Solved;;Intel/Shell;Frank;"27.10.2025 Mx Auf Solved gesetzt.
11.09.2025 ist ausgeliefert
04.09.2025 Gerd hatte getestet. Dieter/Günter haben keine E-Mail erhalten.
03.09.2025: Dieter klärt mit Thomas, wie wir das jetzt ""schnell"" ausliefern
29.08. Getestet und kann ausgeliefert werden -> Günter, Dieter
28.08. Mx Frank test im S01 führt Entwicklertest durch. Gerd muss noch Business Test vornehmen.
22.08.25 MB Thema ist neu. Frank hat etwas eingebaut. Gerd hat 7 weitere Punkte vorgeschlagen. Frank hat geliefert. Gerd testet
20.08. MB: Intel fragt nach der Lösung, insofern muss wohl noch die finale Lösung geliefert werden
07.08. Mx Lieferung an Kunden geliefert.
15.07. MX Abstimmung mit Gerd und Lieferung geplant heute.
09.07. Mx Frank hat Lösung für Defect 1000 und 977 erstellt und beschrieben.
12.06. Mx Defect erstellt. 
17.07. ReTest NOK
Korrekturen zu Rel. 2503 gewünscht.";;
998;Fix;Int;Hry Level change using mass change leads to inconsistent hierachy;2507;;Link;Product Hierarchy;Very High;970;Confirmed;;Sabine;Frank;08.07. Mx Frank sucht nach Lösung Button auszubauen.;;
1125;Fix;Int;multi object CR - new objects company and posting period variant cannot be used;2511;28.10.2025 10:24:54;Link;Company, Posting Period Variant;High;970;Confirmed;;Sabine;Mike/Sara;"4.11.25: MB Mike und Frank machen Anpassungen an den F4-Hilfen (bzw. dem Framework) so dass es am Mittwoch testbar ist
30.10. Mx an Mike und Sara geroutet.";;
1146;Fix;Int;LSA - Change -  Most Address Attr are not being updated;2511;10.11.2025 10:58:31;Link;Shipping Point;Very High;970;Confirmed;;Gerd;Frank;"11.11.25 Sara: Issue not seen in ID1
10.11.25 MB: Replication Error
14.11.25 GS: Test im IR1200 keine Probleme in der LSA Verteilung der Adressen festgestellt";;
1157;Fix;Int;Include distributed tables Shipping Point as bundle in IDoc;2511;14.11.2025 18:23:51;Link;Shipping Point;Very High;970;In Development;;Gerd;Frank;"09.12.25 Mx Status auf Sol. Prop. gesetzt. MB wieder zurück auf ""In Process"" nachdem Frank sagte, dass er noch nicht dran gearbeitet hat. Schaut es sich aber jetzt an
08.12.25 MB Ggf. auch im Zusammenhang mit 1167 zu sehen. Vielleicht ist der in 1167 genannte Transport auch hierfür gedacht
02.12.25 MB Einspielen ergabe Syntax Fehler, wird dran gearbeitet
14.11.25 Problem an Frank gemeldet.";;
1170;Dev;Ext;Remote Validations;2603;02.12.2025 08:15:11;Link;all;High;970;In Development;;Shell;Frank;02.12.2025: MB Wird benötigt für Shell und generell als Szenario um unsere Lösung zu komlettieren;;
1136;Fix;Int;IH2 and ID1 also affected - Descriptions not received in IR1 and IR2 ;2511;05.11.2025 13:02:49;Link;Company ;Very High;969;Confirmed;;Maxi;Sara;"17.11.25 Mx Maxi hat getestet und ich setze auf Confirmed .
13.11.25 Sara: Solution proposal in transport, issue was not seen in ID1
10.11.25 MB: Replication Error";;
1177;Fix;Ext;Lang.-Dep. Text set as mandatory field not validated;2507;08.12.2025 10:28:48;Link;Product Hierarchy;Medium;950;In Development;;Bayer;Frank;"26.01.2026: Lösung greift nicht, MX: Frank gebeten sich das anzuschauen
20.01.2026 Note delivered
14.01.2026 Mx Maxi testet die Lösung. 
07.01.2026 MSK: Note delivered
11.12.2025 MDF Felder auf Mandatory setzen funktioniert. Aber greift nicht auf mehrsprachige Felder. Umbau erforderlich.
09.12.2025 Mx Identisch mit 1172. Defect 1177 wird weitergeführt.
08.12.25 MSK: Language dependent texts that are set to mandatory in MDF are not validated correctly (TXTLG, TXTMI, TXTSH)";ID1K906489;
985;Fix;Ext;Itego RDH - Itego - ID1100 - Enhancement of the transport request function (Shell requirement);2507;;Link;RDH;Medium;968;Automatically Confirmed;;Gerd/Maren;Frank;"28.08. Mx Ulla hat Übersetzung geliefert und Frank baut es in den Button/Anwendung ein. Bereits erledigt. Gerd bitte Business Test durchführen.
26.08. Englische Übersetzung fehlt noch . Ulla soll bitte übernehmen. Mail an Ulla gesendet.
22.08. Online Doku => Gerd macht Vorschläge, Ulla könnte prüfen und übernehmen. Gerd testet noch einmal.
07.08. Mx noch nicht an Kunden geliefert. Maren stimmt Liefertermin mit Michael ab.";;
1083;Dev;Int;"Optimization with RDH filtering & Staging entry filtering	";2601;11.09.2025 09:53:59;Link;RDH, LSA;High;968;New;;Gerd/Maren;Frank;29.09.25: MB Maren, Michael und Gerd diskutieren morgen. Korrespondiert zu 1096.;;
1047;Fix;Ext;RDH - Runtime error while creating snapshot ;2508;;Link;RDH, LSA;Very High;967;Automatically Confirmed;;Shell;Frank;"03.09.2025 Maren schaut nochmal ob Standard Problem oder Itego Problem, Maren fragt Gerd ob der Test gemacht wurde
28.08. Mx Gerd bitte Business Test durchführen.
26.08. Mx Frank gelöst in Status Solution Proposal gesetzt.
26.08. Mx Rückfrage an Maren wegen Release Stand Kunde.
26.08. Mx Defect opened. ";;
1041;Fix;Int;Duplicate external number error after reuploading an existing hierarchy;2508;;Link;Product Hierarchy;Very High;965;Solved;;Niklas;Mike;"28.08. Mx Niklas bitte Business Test durchführen.
26.08. Mx Mike plant Lösung diese Woche.
20.08. Mike untersucht noch, muss aber wohl was umbauen
MX 19.08. Mike startet Untersuchung.
Mx 12.08. Defect open.";;
1084;Fix;Ext;ITEGO production issue with object : Manage company code ;2503;11.09.2025 11:55:21;Link;Company Code;High;965;Automatically Confirmed;;Shell;Mike;"29.10. Mx Die Mails aus dem Support Account sind nicht bei Shell angekommen. Maren sendet Lösungsvorschlag direkt an Gupta. Siehe auch Support Postfach.
 23.10. Mx Reklamation von Shell zu dem Issue. Für Shell ist die Anfrage offen. Anfrage an Kunden, ob er die Lösung ausprobiert hat.
09.10. Mx Mike hat Kunden mit Lösungsvorschlag angeschrieben.
9.10.2025 MB: Nach dem Einspielen des Hinweises kommt es dazu dass Standard CR Typen auswählbar sind. Ggf. ein zusätzliches Berechtigungsproblem? Mail im Verzeichnis abgelegt, auf Mike umgestellt

23.09.2025 im Dump wird das falsche Datenmodell ermittelt. Hinweis denen wir Ihnen geliefert haben, löst das Problem hoffentlich.";;
1113;Fix;Int;Replication creates duplicate external numbers;2512;17.10.2025 12:27:49;Link;Product Hierarchy;Very High;965;In Development;;Gerd;Mike;"01.12.25 MB: Mike schaut wie der Stand ist
Testcase 10.11";;
1126;Fix;Int;MDG staging values company ID and posting period variant cannot be used;2510;28.10.2025 11:13:20;Link;Company Code;High;965;Confirmed;;Sabine;Mike/Sara;"03.11. Mx Mike hat Lösung über Customizing Transport unterwegs.
31.10. Mx an Mike und Sara geroutet.";;
1132;Fix;Int;No Shipping Point in IH1;2511;05.11.2025 09:27:30;Link;Shipping Point;Very High;965;Confirmed;;Ulla;Maxi;"17.11. Mx Bestätigung Ulla Status auf Confirmed.
10.11.25 MB: needs to be added to Fiori Launchpad and Launchpad in NWBC (in ""Sales and Distribution"")";;
1147;Fix;Int;Address cannot be maintained in Multi Object CR;2511;10.11.2025 14:02:12;Link;Company, Posting Period Variant;High;965;Confirmed;;Michael;Mike;"13.11.25 MB: looks good but waiting for Mike to fix 1150 for a complete test
12.11.25 MSK: Solution implemented, but MDF ist not applicable on multi CR
10.11.25 MB: maybe type 4 cannot be used in multi object CR";ID1K906298;
1148;Fix;Int;URGENT -  Factory Calendar is defaulted to 01 Germany independent of previous selection after submission;2511;10.11.2025 14:14:57;Link;Shipping Point;Very High;963;Obsolete;;Maxi;;10.11.25 MB: duplicate to 1137;;
994;Dev;Int;Add To Change Request dumps;2510;;Link;Product Hierarchy;High;960;Confirmed;;Michael;Dieter;"24.10.25 GS ReTest in IH1/100 Entwicklung erfolgreich getestet
23.10.25 Mx 20.10.25:GS: Test im ID1/100 erfolgreich. Kein Add to change Request dumps mehr.
20.10.25: MB: Dieter konnte etwas im IH1 einspielen und dort erfolgreich testen?? im IH1 sollte der Button aber nicht aktiv sein. Daher Dieter und Gerd gebeten nochmal im ID1 zu schauen.
06.10.25: MB SAP Anfrage läuft immer noch
08.09.25: MB: Mike schaut wie SAP das rekonstruieren kann
21.08. Mx Dieter eröffnet OSS-Meldung, Mike unterstützt Dieter bei Aktivierung Button im ID1_100.
19.08. Mx SAP benötigt System mit aktiviertem Button. Mögliche Systeme ID1 oder IS1. Dieter ist dran.
11.08. Mx If CR create in process is available, problem will be solved. 
14.07 MX Frank hat untersucht. OSS-Meldung an SAP (Dieter). 
10.07. Funktionierendes Beispiel im MDG-F gefunden und im 994 dokumentiert.
08.07. MX System erwartet Single CR. Debug von Frank. Problem SAP Framework. Dieter schaut nach dem Thema.";;
1063;Fix;Int;Missing Description Text and LANGU Attribute in File Download;2509;;Link;Characteristic;Very High;960;Solved;;Niklas;Mike;"11.09.25 MB: Mike schickt gleich Transport raus
08.09.25 MB Mike schaut es sich an. Liegt aber wohl im SAP Coding, im Zweifelsfall ein SAP Ticket.";;
1089;Fix;Int;Multiple Object CR type dumps for company code maintenance;2511;22.09.2025 17:01:24;Link;Company, Posting Period Variant;High;960;Confirmed;;Sabine;Mike;"17.11. Sabine: retest IH1 ok
12.11.25: MSK Should be ""cross-fixed"" with 1147; MDF is not applicable on multi CR
06.11. Mx Thema von Dieter an Mike weitergegeben
Testcase 101.1 u. 101.2
3.11.2025: MB - Dieter krank, Mike müsste übernehmen
23.09.2025: MB: Dieter arbeitet dran zusammen mit Frank";ID1K906298;
1138;Fix;Int;Time format replication error;2511;05.11.2025 14:48:31;Link;Shipping Point;Very High;960;Confirmed;;Ulla;Sara;"19.11. Info Ulla gelöst, aber neues Problemchen in 1160 erfasst.
19.11. Lösung in IH1 transportiert.
19.11.25 Frank/Sara made changes. Shared for basic test in ID1 and in IH1.
17.11.25 MB Asked Sara to involve Frank 
10.11.25 MB: Replication Error";;
1164;Fix;Ext;Location address not maintainable;2311;21.11.2025 09:13:46;Link;Location;High;960;Automatically Confirmed;;ExxonMobil;Dieter;"24.11.25 Test document "" ID1 - Test example for Itego ticket 1164"" in folder 1164                              25.11.25 Transport mit aktualisiertem BC-Set um 22:30h geschickt";;
1194;Fix;Ext;Navigation issue on BP UI after uninstall;2507;13.01.2026 09:47:04;Link;Business Partner;High;960;Solution Proposal;;ABI;Günter;"22.01.2026 MSK: Note an ABI ausgeliefert
14.01.2026 Mx Günter erstellt einen Fix.";;
1099;Dev;Int;Provide Tile for creation of multiple object change request;;06.10.2025 13:07:04;Link;Multi object CR;High;955;Confirmed;;Sabine;;13.10.25: Retest in ID1 ok (Sabine);;
1044;Dev;Ext;Shipping Point;2511;;Link;Shipping Point ;High;955;Solved;;Intel;Sara;"09.12. Mx Anforderung die Umgesetzt wird und mit 2511 ausgeliefert.
06.11. Mx Status auf Sol. Pro. gesetzt.
04.11.25 MB: Mike spricht mit Sara wg. Datenverteilung / ist noch nicht möglich
23.10. Mx Sabine kann Shipping Point testen.
06.10.25: Aktuell noch Probleme mit CBA, wird mindestens noch eine Woche dauern
18.08. MB created after Meeting with Intel";;
1013;Fix ;Int;Dump when moving nodes;2507;;Link;Product Hierarchy;Very High;950;Obsolete;;Michael;Mike;"17.07. MB: angelegt, obwohl aktuell der Fehler nicht auftritt => Daher ""obsolete"" gesetzt. Bei Bedarf reaktivieren.";;
1025;Fix ;Int;ProdH double assignment;2507;;Link;Product Hierarchy;Very High;950;Confirmed;;Niklas;Mike;"31.07. Mx Niklas hat postiv getestet.
30.07. Mx Niklas testet nach.
29.07. MX 26.07. neu eröffnet, Fehler kann von Mike nicht nachgestellt werden. Anfrage an Niklas.";ID1K905405       KOLOSEIKEM   R2507-D896: ProdH Val. Changes F1025, F1028, F1030;
622;Fix;Ext;Company code configuration issue ;2503;;Link;Company Code;High;950;Confirmed;;Shell;Dieter;"30.07. Mx Info von Dieter Test war erfolgreich und bereits in 2503 enthalten. Info an Maren wegen Lieferung per Release 2503.
15.07. MX Dieter checkt und muss im Upgrade eingebaut werden.
23.06.25: noch zu testen
13.5.25: Frank baut in die Datenmodell-Generierung ein
13.09. Ticket created / asked for RDM and S/4 Version and sent solution proposal … a user seems to be missing";;
1091;Dev;Ext;Consulting: Combine Payment Term and Payment Term Details in one process;2512;24.09.2025 10:16:16;Link;Payment Terms Details;Medium;950;Confirmed;;Intel (Deloitte);Dieter;"09.10.2025 Mx  Aus diesem Defectmeldung ergibt sich eine Entwicklungsanforderung von Intel. Aufnahme weiterer Felder in Payment Term.Kunde wurde informiert, hat daher detailliert Anforderung gestellt.  Neuer Anforderung 1106.
23.09.2025: ist ein Consulting Request und werde ich bearbeiten. Infos dazu von der Shell-Implementierung liegen hier: \\intern.itego.de\Public\Itego Reference Data Management\Customers\Shell\Payment Terms ";;
1093;Fix;Ext;Display the Header with application name and values (Consulting Request);2511;25.09.2025 14:42:18;Link;Change Request ;High;950;Automatically Confirmed;;Intel;Michael/Thomas;"27.09. Mx Mail gesendet .
25.09.2025 Prepairing Mail about no  Consulting Report. 
26.09.2025 Mx Answer to Intel, no Consulting support.";;
1109;Dev;Int;Replication Missing;;14.10.2025 04:44:24;Link;Company, Posting Period Variant  ;High;950;Solved;;Niklas;Maxi;"14.10.2025 MB: weiter an Maxi
                   ME: Gelöst";;
1129;Fix;Int;working times input help does not work - only calendar 01 supported;2511;03.11.2025 13:28:08;Link;Shipping Point;High;950;Obsolete;;Sabine;Sara;"10.11.25 Sabine: will be closed as it is a duplicate to issue 1137
06.11.25 Sara:In solution proposal
06.11. MX Sara untersucht verbunden mit anderem Fehler verbunden. ";;
1105;Fix;Ext;BC-Set activation;;08.10.2025 17:21:50;Link;;High;950;Automatically Confirmed;;Jungheinrich;Dieter; Problem bei der BC-Set Aktivierung      08.10. Mail an Kunden;;
